guest_id,is_canceled,booking_changes,previous_cancellations,previous_bookings_not_canceled
TR1,0,3,0,0
TR2,0,4,0,0
TR3,0,0,0,0
TR4,0,0,0,0
TR5,0,0,0,0
TR6,0,0,0,0
TR7,0,0,0,0
TR8,0,0,0,0
TR9,1,0,0,0
TR10,1,0,0,0
TR11,1,0,0,0
TR12,0,0,0,0
TR13,0,0,0,0
TR14,0,1,0,0
TR15,0,0,0,0
TR16,0,0,0,0
CO17,0,0,0,0
TR18,0,0,0,0
TR19,0,0,0,0
TR20,0,0,0,0
TR21,0,0,0,0
TR22,0,1,0,0
TR23,0,1,0,0
TR24,0,1,0,0
CO25,0,0,0,0
TR26,0,0,0,0
CO27,0,0,0,0
TR28,1,0,0,0
TR29,0,0,0,0
TR30,0,0,0,0
TR31,0,0,0,0
TR32,1,0,0,0
TR33,0,0,0,0
TR34,1,0,0,0
TR35,1,0,0,0
TR36,0,0,0,0
TR37,0,0,0,0
TR38,1,0,0,0
TR39,0,0,0,0
TR40,1,0,0,0
CO41,0,0,0,0
TR42,0,0,0,0
TR43,0,0,0,0
TR44,0,0,0,0
TR45,1,0,0,0
TR46,0,0,0,0
TP47,0,0,0,0
CO48,0,1,0,0
TR49,0,1,0,0
TP50,0,0,0,0
CO51,0,0,0,0
CO52,0,0,0,0
TR53,0,0,0,0
TR54,0,0,0,0
TR55,0,0,0,0
TR56,0,0,0,0
TR57,0,0,0,0
TR58,0,0,0,0
TR59,0,0,0,0
TR60,0,0,0,0
TR61,0,0,0,0
TR62,0,0,0,0
CO63,0,0,0,0
TR64,1,0,0,0
TR65,0,0,0,0
TR66,0,0,0,0
TR67,0,0,0,0
TR68,1,0,0,0
TR69,1,0,0,0
TR70,1,0,0,0
TR71,1,0,0,0
TR72,0,0,0,0
TR73,0,0,0,0
TR74,1,0,0,0
TR75,0,0,0,0
TR76,1,0,0,0
TR77,0,0,0,0
TR78,0,0,0,0
TR79,0,0,0,0
CO80,0,0,0,0
CO81,1,0,0,0
CO82,0,0,0,0
TR83,1,2,0,0
CO84,0,0,0,0
CO85,0,0,0,0
TR86,0,1,0,0
TR87,1,0,0,0
TR88,0,0,0,0
TR89,0,0,0,0
TR90,0,0,0,0
TR91,0,0,0,0
TR92,0,0,0,0
TR93,0,0,0,0
TR94,1,0,0,0
TR95,1,0,0,0
TR96,1,0,0,0
TR97,0,0,0,0
TR98,0,0,0,0
TR99,0,0,0,0
TR100,0,0,0,0
TR101,0,0,0,0
TR102,0,0,0,0
TR103,0,0,0,0
TR104,0,0,0,0
TR105,1,0,0,0
TR106,1,0,0,0
TR107,1,0,0,0
TR108,0,0,0,0
TR109,0,0,0,0
TR110,0,0,0,0
TR111,0,0,0,0
TR112,0,0,0,0
TR113,0,0,0,0
TR114,1,0,0,0
TR115,0,0,0,0
CO116,0,0,0,0
CO117,0,0,0,0
TR118,0,1,0,0
TR119,0,1,0,0
CO120,0,0,0,0
TR121,1,0,0,0
TR122,1,1,0,0
TR123,1,0,0,0
TR124,1,0,0,0
TR125,0,2,0,0
TR126,0,0,0,0
TP127,0,0,0,0
TR128,0,0,0,0
TP129,0,0,0,0
TP130,0,0,0,0
TR131,0,0,0,0
TR132,1,0,0,0
TR133,0,1,0,0
TR134,0,0,0,0
TR135,0,0,0,0
TR136,0,0,0,0
TR137,0,0,0,0
TR138,1,0,0,0
TR139,0,0,0,0
TR140,0,3,0,0
TR141,0,0,0,0
TR142,0,0,0,0
TR143,0,0,0,0
TR144,0,0,0,0
TR145,0,0,0,0
TR146,0,0,0,0
TR147,0,0,0,0
TR148,1,0,0,0
TR149,1,0,0,0
TR150,0,1,0,0
TR151,0,0,0,0
TR152,1,0,0,0
TR153,0,0,0,0
TR154,0,1,0,0
TR155,0,0,0,0
TR156,0,3,0,0
CO157,0,0,0,0
CO158,0,0,0,0
CO159,0,0,0,0
TR160,0,1,0,0
TR161,0,0,0,0
TR162,0,0,0,0
TR163,0,0,0,0
TR164,0,0,0,0
TR165,0,1,0,0
TR166,0,0,0,0
TR167,0,0,0,0
TR168,0,0,0,0
TR169,0,0,0,0
TR170,0,0,0,0
TR171,0,0,0,0
TR172,0,0,0,0
TR173,1,0,0,0
TR174,0,0,0,0
TR175,0,1,0,0
TR176,0,0,0,0
TR177,0,0,0,0
TR178,0,0,0,0
TR179,0,1,0,0
TR180,0,0,0,0
TR181,1,0,0,0
CO182,0,0,0,0
TR183,0,0,0,0
TR184,1,0,0,0
TR185,0,0,0,0
TR186,0,1,0,0
TR187,0,5,0,0
CO188,0,0,0,0
TR189,0,1,0,0
CO190,0,0,0,0
CO191,0,0,0,0
TR192,0,0,0,0
TR193,1,0,0,0
TR194,0,0,0,0
TR195,0,0,0,0
TR196,0,0,0,0
TR197,0,0,0,0
TR198,0,0,0,0
TR199,0,0,0,0
TR200,0,0,0,0
TR201,0,2,0,0
TR202,0,0,0,0
TR203,0,0,0,0
TR204,0,2,0,0
TR205,1,0,0,0
TR206,1,0,0,0
TR207,0,0,0,0
CO208,1,0,0,0
CO209,0,0,0,0
TR210,0,0,0,0
TR211,0,0,0,0
TR212,0,0,0,0
TR213,1,0,0,0
TR214,0,0,0,0
TR215,0,0,0,0
TR216,1,0,0,0
TR217,0,0,0,0
TR218,1,0,0,0
TR219,1,0,0,0
TR220,0,0,0,0
TR221,1,0,0,0
TR222,0,1,0,0
CO223,1,0,0,0
TR224,0,0,0,0
CO225,0,0,0,0
TR226,0,0,0,0
TR227,0,0,0,0
TP228,0,1,0,0
TP229,0,0,0,0
TR230,0,0,0,0
TR231,0,0,0,0
TR232,0,2,0,0
TR233,1,0,0,0
TR234,1,0,0,0
TR235,1,0,0,0
TR236,0,0,0,0
TR237,1,0,0,0
TR238,1,0,0,0
TR239,0,0,0,0
TR240,0,0,0,0
TR241,0,0,0,0
TR242,0,0,0,0
CO243,0,0,0,0
CO244,0,0,0,0
CO245,0,0,0,0
TR246,0,0,0,0
TR247,1,0,0,0
TR248,0,0,0,0
TR249,0,0,0,0
TR250,0,0,0,0
TR251,0,0,0,0
TR252,0,0,0,0
TR253,0,0,0,0
TR254,0,2,0,0
TR255,0,1,0,0
TR256,0,0,0,0
TR257,0,0,0,0
TR258,0,0,0,0
TR259,0,0,0,0
TP260,0,0,0,0
TP261,0,0,0,0
TR262,1,0,0,0
TR263,0,0,0,0
TR264,0,1,0,0
TR265,0,0,0,0
TR266,0,1,0,0
TR267,0,1,0,0
TR268,0,1,0,0
TR269,0,1,0,0
TR270,0,2,0,0
TR271,0,0,0,0
TR272,0,0,0,0
TR273,0,0,0,0
TR274,0,0,0,0
TR275,0,0,0,0
TR276,0,0,0,0
TR277,0,0,0,0
TR278,0,0,0,0
TR279,0,0,0,0
TR280,1,0,0,0
TR281,0,0,0,0
TR282,0,1,0,0
TR283,1,0,0,0
TR284,0,0,0,0
TR285,0,0,0,0
TR286,0,0,0,0
TR287,1,0,0,0
TR288,0,0,0,0
TR289,0,0,0,0
TR290,0,1,0,0
TR291,0,0,0,0
TR292,0,1,0,0
TR293,0,0,0,0
TR294,0,0,0,0
TR295,0,0,0,0
TR296,0,0,0,0
TR297,0,0,0,0
TR298,0,0,0,0
TR299,0,0,0,0
TR300,0,0,0,0
TR301,0,0,0,0
TR302,1,0,0,0
TR303,0,1,0,0
TR304,0,1,0,0
TR305,0,0,0,0
TR306,0,0,0,0
TR307,0,0,0,0
TR308,0,0,0,0
TR309,0,0,0,0
TR310,1,0,0,0
TR311,0,0,0,0
TR312,0,0,0,0
TP313,0,0,0,0
TR314,0,1,0,0
TR315,1,0,0,0
CO316,0,0,0,0
TP317,0,0,0,0
CO318,0,0,0,0
TR319,0,0,0,0
TR320,1,0,0,0
TR321,0,0,0,0
TR322,0,0,0,0
TR323,1,0,0,0
TR324,0,0,0,0
TR325,0,0,0,0
TR326,0,0,0,0
CO327,0,0,0,0
CO328,1,2,0,0
TR329,0,0,0,0
TR330,0,0,0,0
TR331,0,0,0,0
TR332,0,0,0,0
TR333,0,0,0,0
TR334,0,0,0,0
TR335,0,0,0,0
CO336,0,1,0,0
TR337,0,0,0,0
TR338,1,0,0,0
TR339,0,0,0,0
TR340,0,2,0,0
TR341,0,0,0,0
CO342,0,0,0,0
TR343,1,0,0,0
TR344,0,0,0,0
TR345,0,0,0,0
TR346,0,0,0,0
TP347,0,1,0,0
TR348,1,0,0,0
TR349,0,0,0,0
TP350,0,0,0,0
TR351,0,0,0,0
TR352,0,0,0,0
TP353,0,0,0,0
TR354,0,0,0,0
TR355,0,0,0,0
TR356,0,0,0,0
TR357,1,0,0,0
TR358,0,0,0,0
TR359,0,0,0,0
TR360,0,0,0,0
TR361,0,0,0,0
TR362,0,2,0,0
TR363,0,0,0,0
TR364,1,0,0,0
TR365,1,0,0,0
TR366,0,0,0,0
CO367,1,0,0,0
TR368,0,0,0,0
TR369,1,0,0,0
TR370,0,0,0,0
TR371,1,0,0,0
TR372,0,0,0,0
TR373,0,0,0,0
TR374,1,0,0,0
TR375,1,0,0,0
TR376,0,2,0,0
TR377,0,0,0,0
TP378,0,0,0,0
TR379,0,0,0,0
TR380,0,0,0,0
TR381,1,0,0,0
TR382,0,0,0,0
TR383,0,1,0,0
CO384,0,0,0,0
TR385,0,0,0,0
TR386,1,0,0,0
TR387,0,0,0,0
TR388,0,2,0,0
TR389,0,1,0,0
TR390,1,0,0,0
TR391,0,0,0,0
TR392,0,1,0,0
TR393,0,0,0,0
TP394,0,0,0,0
TP395,0,0,0,0
TR396,0,1,0,0
TR397,1,0,0,0
TR398,0,0,0,0
TR399,0,1,0,0
TR400,1,0,0,0
TR401,1,0,0,0
TR402,0,0,0,0
TR403,0,0,0,0
TR404,0,0,0,0
TR405,0,1,0,0
TR406,0,1,0,0
TR407,0,0,0,0
TR408,1,0,0,0
TR409,1,0,0,0
TR410,0,0,0,0
TR411,1,0,0,0
TR412,0,0,0,0
TP413,0,0,0,0
TP414,0,0,0,0
TP415,0,0,0,0
TP416,0,0,0,0
TR417,0,0,0,0
TR418,0,0,0,0
TR419,0,0,0,0
TP420,0,1,0,0
TP421,1,0,0,0
TP422,0,0,0,0
TP423,0,1,0,0
TP424,0,1,0,0
TR425,0,0,0,0
TR426,0,0,0,0
TP427,0,1,0,0
TP428,0,1,0,0
TP429,0,0,0,0
TR430,0,0,0,0
TR431,0,0,0,0
TP432,0,0,0,0
TP433,0,0,0,0
TR434,1,0,0,0
TR435,0,0,0,0
TR436,0,0,0,0
TR437,1,0,0,0
TR438,1,0,0,0
TR439,0,1,0,0
TR440,0,1,0,0
TR441,1,0,0,0
TR442,0,0,0,0
TR443,0,0,0,0
TR444,0,0,0,0
TR445,1,0,0,0
TR446,1,0,0,0
TR447,1,0,0,0
TR448,0,0,0,0
TP449,0,0,0,0
TR450,1,0,0,0
TP451,0,1,0,0
TR452,0,0,0,0
TR453,1,0,0,0
TR454,0,0,0,0
TR455,1,0,0,0
CO456,0,0,0,0
TR457,0,1,0,0
TR458,0,1,0,0
TR459,0,0,0,0
TR460,0,0,0,0
TR461,0,0,0,0
TR462,0,0,0,0
TR463,0,0,0,0
TR464,1,0,0,0
TR465,1,0,0,0
TR466,0,0,0,0
TR467,1,0,0,0
TR468,0,0,0,0
TR469,0,0,0,0
TR470,0,0,0,0
TR471,0,0,0,0
TR472,1,0,0,0
TR473,1,0,0,0
TP474,0,0,0,0
TP475,0,0,0,0
TR476,0,0,0,0
TP477,0,0,0,0
TP478,0,0,0,0
TP479,0,0,0,0
TP480,0,0,0,0
TP481,0,0,0,0
TR482,0,1,0,0
TR483,0,0,0,0
TR484,0,0,0,0
TR485,0,1,0,0
TR486,1,0,0,0
TR487,0,1,0,0
TR488,0,0,0,0
TR489,0,0,0,0
TR490,0,1,0,0
TR491,0,0,0,0
TR492,0,0,0,0
TR493,0,0,0,0
TR494,0,1,0,0
TR495,0,3,0,0
TR496,0,3,0,0
TR497,0,1,0,0
CO498,0,0,0,0
TR499,0,0,0,0
TR500,0,0,0,0
TR501,1,0,0,0
TR502,0,0,0,0
TR503,0,0,0,0
TR504,1,0,0,0
TR505,0,4,0,0
TR506,0,0,0,0
TR507,0,0,0,0
TR508,0,0,0,0
TR509,0,0,0,0
TR510,0,1,0,0
TR511,1,0,0,0
TR512,0,0,0,0
TR513,0,0,0,0
TR514,0,1,0,0
TR515,0,0,0,0
TR516,1,0,0,0
TR517,1,1,0,0
TR518,1,0,0,0
CO519,0,0,0,0
TR520,0,0,0,0
TR521,0,0,0,0
TR522,0,0,0,0
TR523,0,0,0,0
TR524,0,0,0,0
TR525,0,0,0,0
TR526,0,0,0,0
TR527,0,0,0,0
TR528,0,0,0,0
TR529,0,0,0,0
TR530,1,0,0,0
TR531,0,0,0,0
TR532,0,0,0,0
TR533,0,0,0,0
TR534,0,0,0,0
TR535,1,0,0,0
TR536,0,0,0,0
TR537,0,0,0,0
TR538,0,0,0,0
GR539,0,0,0,0
TR540,0,0,0,0
GR541,0,0,0,0
TR542,0,0,0,0
TR543,0,0,0,0
TR544,1,0,0,0
TR545,0,0,0,0
TR546,1,0,0,0
TR547,0,0,0,0
TR548,1,0,0,0
TR549,1,0,0,0
TR550,0,0,0,0
TR551,1,0,0,0
CO552,0,0,0,0
TR553,1,0,0,0
TR554,0,1,0,0
TR555,1,0,0,0
TR556,0,0,0,0
TR557,0,0,0,0
TR558,1,0,0,0
TR559,1,0,0,0
CO560,0,0,0,0
TR561,0,0,0,0
TR562,1,0,0,0
CO563,0,0,0,0
TR564,0,0,0,0
TR565,0,2,0,0
TR566,0,0,0,0
TR567,1,0,0,0
TR568,0,0,0,0
TR569,0,0,0,0
TR570,0,0,0,0
TR571,0,0,0,0
TR572,0,3,0,0
TR573,0,0,0,0
TR574,1,0,0,0
TR575,0,0,0,0
TR576,1,0,0,0
TR577,1,0,0,0
TR578,0,0,0,0
TR579,1,0,0,0
TR580,1,0,0,0
TR581,0,0,0,0
TR582,1,1,0,0
TR583,0,0,0,0
TR584,1,0,0,0
TR585,0,0,0,0
TR586,0,0,0,0
TR587,0,0,0,0
TR588,0,1,0,0
TR589,1,1,0,0
TR590,1,0,0,0
TR591,0,0,0,0
TR592,1,0,0,0
TR593,1,0,0,0
TR594,0,1,0,0
TR595,0,0,0,0
TR596,0,0,0,0
TR597,1,0,0,0
TR598,1,0,0,0
TR599,1,0,0,0
TR600,0,0,0,0
TR601,1,0,0,0
TR602,1,0,0,0
TR603,0,0,0,0
TR604,0,1,0,0
TR605,0,0,0,0
TR606,0,0,0,0
TR607,0,0,0,0
TR608,0,0,0,0
TR609,0,0,0,0
TR610,0,0,0,0
TR611,0,0,0,0
TR612,1,0,0,0
TR613,1,0,0,0
TR614,0,1,0,0
TR615,1,0,0,0
TR616,1,0,0,0
TR617,1,0,0,0
TR618,0,0,0,0
TR619,0,1,0,0
TR620,0,0,0,0
TR621,0,0,0,0
TR622,1,0,0,0
TP623,0,1,0,0
TR624,1,0,0,0
TR625,1,0,0,0
TR626,0,0,0,0
TR627,1,0,0,0
TR628,1,0,0,0
TR629,0,0,0,0
TR630,1,0,0,0
TR631,1,0,0,0
TR632,0,1,0,0
TP633,0,0,0,0
TP634,0,0,0,0
TR635,1,0,0,0
TP636,0,0,0,0
TP637,0,0,0,0
TP638,0,0,0,0
TR639,0,0,0,0
TP640,0,0,0,0
TR641,1,0,0,0
TR642,0,0,0,0
TP643,0,0,0,0
TR644,1,0,0,0
TR645,1,0,0,0
TR646,0,2,0,0
TR647,1,0,0,0
TR648,0,0,0,0
TR649,1,0,0,0
TR650,1,0,0,0
TR651,0,0,0,0
TR652,1,0,0,0
TR653,0,0,0,0
TP654,0,0,0,0
TP655,0,0,0,0
TR656,0,1,0,0
TR657,1,0,0,0
TR658,1,0,0,0
TR659,1,0,0,0
TR660,0,0,0,0
TR661,0,0,0,0
TR662,0,0,0,0
TR663,1,0,0,0
CO664,1,0,0,0
TR665,0,0,0,0
TR666,0,0,0,0
TR667,0,0,0,0
TR668,0,0,0,0
TR669,0,0,0,0
TR670,1,0,0,0
TR671,0,0,0,0
TR672,1,0,0,0
TR673,1,0,0,0
TR674,1,0,0,0
TR675,0,0,0,0
TR676,0,0,0,0
TR677,0,1,0,0
TR678,0,0,0,0
TR679,0,0,0,0
TR680,0,0,0,0
TR681,1,0,0,0
TR682,0,0,0,0
TR683,0,1,0,0
TR684,0,0,0,0
TR685,1,0,0,0
TR686,0,0,0,0
TR687,0,0,0,0
TR688,1,1,0,0
TR689,1,0,0,0
TR690,1,0,0,0
TR691,0,0,0,0
TR692,0,1,0,0
TR693,0,0,0,0
TR694,1,0,0,0
TR695,0,0,0,0
TR696,0,1,0,0
TR697,1,0,0,0
TR698,1,0,0,0
TR699,1,0,0,0
TR700,0,0,0,0
CO701,0,0,0,0
CO702,1,0,0,0
TR703,0,0,0,0
TR704,1,0,0,0
TR705,0,0,0,0
TR706,1,0,0,0
TR707,1,0,0,0
TR708,1,0,0,0
TR709,0,0,0,0
TP710,0,0,0,0
TR711,1,0,0,0
TR712,1,0,0,0
TR713,0,0,0,0
TR714,1,0,0,0
TR715,1,0,0,0
TR716,0,0,0,0
TR717,0,0,0,0
TR718,0,0,0,0
TR719,1,0,0,0
TR720,1,0,0,0
TR721,0,0,0,0
TR722,0,1,0,0
TR723,1,0,0,0
TR724,0,0,0,0
TR725,1,0,0,0
TR726,1,1,0,0
TR727,1,0,0,0
TR728,0,0,0,0
TR729,0,0,0,0
TR730,0,0,0,0
TR731,0,0,0,0
TR732,1,0,0,0
TR733,0,5,0,0
TR734,0,0,0,0
TR735,0,0,0,0
TR736,0,0,0,0
TR737,0,0,0,0
TR738,0,0,0,0
TR739,0,0,0,0
TR740,1,0,0,0
TR741,0,0,0,0
TR742,1,0,0,0
TR743,0,1,0,0
TR744,1,0,0,0
TR745,0,0,0,0
TR746,0,0,0,0
TR747,0,1,0,0
TR748,1,0,0,0
TR749,0,0,0,0
TR750,1,0,0,0
TR751,1,0,0,0
TR752,0,0,0,0
TR753,0,0,0,0
TR754,1,0,0,0
TR755,1,0,0,0
TR756,1,0,0,0
TR757,1,0,0,0
TR758,0,0,0,0
TR759,0,0,0,0
TR760,0,0,0,0
TR761,0,0,0,0
TR762,0,0,0,0
TR763,1,0,0,0
TR764,1,0,0,0
TR765,0,0,0,0
TR766,0,0,0,0
TR767,0,0,0,0
TR768,0,0,0,0
TR769,1,0,0,0
TR770,0,0,0,0
TR771,0,0,0,0
CO772,1,0,0,0
TR773,0,1,0,0
CO774,0,0,0,0
TR775,1,0,0,0
TR776,0,0,0,0
TR777,1,0,0,0
TR778,0,0,0,0
TR779,1,0,0,0
TR780,1,0,0,0
TR781,0,0,0,0
TR782,0,0,0,0
TR783,1,0,0,0
TR784,0,0,0,0
TR785,0,0,0,0
TR786,1,0,0,0
TR787,1,1,0,0
TR788,0,0,0,0
TR789,1,0,0,0
TR790,1,0,0,0
TR791,0,0,0,0
TR792,1,0,0,0
TR793,1,0,0,0
TR794,1,1,0,0
TR795,0,1,0,0
TR796,1,0,0,0
TR797,1,0,0,0
TR798,0,0,0,0
TR799,0,0,0,0
TR800,1,0,0,0
TR801,1,0,0,0
TR802,1,0,0,0
TR803,0,0,0,0
TR804,0,0,0,0
TR805,1,0,0,0
TR806,1,0,0,0
TR807,1,0,0,0
TR808,1,0,0,0
